기간,자치구,동,평균연령,남자,여자
2016,양천구,신월3동,42.2,41.4,43.1
2016,양천구,신월4동,40.2,39.3,41
2016,양천구,신월5동,40.4,39.5,41.2
2016,양천구,신월6동,42.3,41.4,43.2
2016,양천구,신월7동,42.6,41.4,43.7
2016,양천구,신정1동,38.6,37.9,39.3
2016,양천구,신정2동,39.4,38.5,40.2
2016,양천구,신정3동,39.4,38.3,40.5
2016,양천구,신정6동,37.7,37,38.4
2016,양천구,신정7동,41.2,39.8,42.5
2016,양천구,목5동,37.2,36.2,38.2
2016,양천구,신정4동,41.7,41,42.3
2016,강서구,소계,40.4,39.5,41.3
2016,강서구,염창동,37.3,36.7,37.9
2016,강서구,등촌1동,39.2,38.7,39.7
2016,강서구,등촌2동,40.4,39.2,41.5
2016,강서구,등촌3동,43,41.1,44.7
2016,강서구,화곡본동,39.5,38.5,40.5
2016,강서구,화곡2동,40,39.1,40.9
2016,강서구,화곡3동,42.1,41.3,42.8
2016,강서구,화곡4동,41.8,40.6,42.9
2016,강서구,화곡6동,40.8,40,41.7
2016,강서구,화곡8동,41.3,40.3,42.1
2016,강서구,가양1동,38.3,38,38.6
2016,강서구,가양2동,46.7,45,48.3
2016,강서구,가양3동,43.9,42,45.7
2016,강서구,발산1동,37.2,36.4,38
2016,강서구,공항동,40.4,39.7,41.2
2016,강서구,방화1동,39,38.4,39.6
2016,강서구,방화2동,43.4,42.1,44.6
2016,강서구,방화3동,43.2,41.8,44.4
2016,강서구,화곡1동,41.3,40.6,42
2016,강서구,우장산동,38.4,37.9,38.8
2016,구로구,소계,41.1,40.4,41.8
2016,구로구,신도림동,38.2,37.9,38.6
2016,구로구,구로1동,37.8,36.9,38.7
2016,구로구,구로3동,39.1,38.7,39.5
2016,구로구,구로4동,43.4,42.5,44.3
2016,구로구,구로5동,40.4,40.2,40.7
2016,구로구,고척1동,41.7,40.7,42.6
2016,구로구,고척2동,41.3,40.6,42
2016,구로구,개봉2동,41.7,40.9,42.4
2016,구로구,개봉3동,41.7,40.7,42.6
2016,구로구,오류1동,41.9,41.4,42.3
2016,구로구,오류2동,39.5,38.6,40.3
2016,구로구,수궁동,41,40.1,42
2016,구로구,가리봉동,47.6,46.8,48.5
2016,구로구,구로2동,44.9,43.9,45.9
2016,구로구,개봉1동,42.3,41.8,42.9
2016,금천구,소계,42.3,41.5,43.1
2016,금천구,가산동,41,41.1,40.9
2016,금천구,독산1동,40.8,40.1,41.6
2016,금천구,독산2동,42.8,42,43.6
2016,금천구,독산3동,43.5,42.8,44.2
2016,금천구,독산4동,43.1,42.6,43.6
2016,금천구,시흥1동,41.9,41,42.9
2016,금천구,시흥2동,41.3,40.4,42.2
2016,금천구,시흥3동,43.6,42.8,44.4
2016,금천구,시흥4동,42.7,41.9,43.5
2016,금천구,시흥5동,43.8,42.5,45.1
2016,영등포구,소계,41.7,41,42.3
2016,영등포구,여의도동,41.9,41.1,42.5
2016,영등포구,당산1동,41.8,41.4,42.3
2016,영등포구,당산2동,39,38.8,39.2
2016,영등포구,양평1동,40.2,39.3,41.1
2016,영등포구,양평2동,38.4,38,38.9
2016,영등포구,신길1동,43.8,42.6,45
2016,영등포구,신길3동,43,41.9,44.1
2016,영등포구,신길4동,44.8,43.6,46
2016,영등포구,신길5동,44.5,43.5,45.6
2016,영등포구,신길6동,42.2,41.1,43.3
2016,영등포구,신길7동,38.7,37.7,39.7
2016,영등포구,대림1동,44.4,43.2,45.7
2016,영등포구,대림2동,45.3,44.2,46.3
2016,영등포구,대림3동,42.2,41.3,43.1
2016,영등포구,영등포본동,42.3,41.8,42.8
2016,영등포구,영등포동,42.9,43.5,42.1
2016,영등포구,도림동,42.2,41.4,42.9
2016,영등포구,문래동,39.4,38.9,39.9
2016,동작구,소계,41.2,40.1,42.2
2016,동작구,노량진2동,44.8,43.6,46.1
2016,동작구,상도1동,39.7,38.6,40.8
2016,동작구,상도2동,40.6,39.7,41.3
2016,동작구,상도3동,41.7,40.5,42.7
2016,동작구,상도4동,41.5,40.3,42.8
2016,동작구,사당1동,41.6,40.9,42.2
2016,동작구,사당3동,42,41.2,42.8
2016,동작구,사당4동,42.1,40.9,43.3
2016,동작구,사당5동,40.8,39.8,41.8
2016,동작구,대방동,39.5,38.6,40.4
2016,동작구,신대방1동,40.2,39.6,40.8
2016,동작구,신대방2동,39.6,38.9,40.2
